County Name,Breed,Sex,0-1 Years,1-2 Years,2-3 Years,3-4 Years,4-5 Years,Over 5 Years,Totals
Mid Lothian,LIM,M,78,29,16,10,11,37,181
Mid Lothian,LIMB,F,0,0,0,0,0,2,2
Mid Lothian,LIMBX,F,0,0,0,0,0,53,53
Mid Lothian,LIMR,F,0,0,0,0,0,4,4
Mid Lothian,LIMR,M,0,0,0,0,0,3,3
Mid Lothian,LIMRX,F,0,0,0,0,0,30,30
Mid Lothian,LIMX,F,"1,313","1,248",387,397,440,"1,292","5,077"
Mid Lothian,LIMX,M,"1,228",820,50,5,0,8,"2,111"
Mid Lothian,LIX,F,0,0,0,0,0,142,142
Mid Lothian,LM,F,0,0,0,0,0,60,60
Mid Lothian,LM,M,0,0,0,0,0,19,19
Mid Lothian,LMX,F,0,0,0,0,0,445,445
Mid Lothian,LMX,M,0,0,0,0,0,118,118
Mid Lothian,LRX,F,0,0,0,0,0,2,2
Mid Lothian,LRX,M,5,3,0,0,0,0,8
Mid Lothian,LU,F,16,18,16,2,7,34,93
Mid Lothian,LU,M,6,3,1,0,1,0,11
Mid Lothian,LUX,F,1,14,1,1,5,4,26
Mid Lothian,LUX,M,1,6,2,0,0,0,9
Mid Lothian,MG,F,0,0,0,0,1,4,5
Mid Lothian,MO,F,0,4,0,0,0,0,4
Mid Lothian,MOX,F,6,8,8,2,6,0,30
