Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
England,AYRSHIRE,Dairy,M,18 to 24 months,315
England,AYRSHIRE,Dairy,M,24 to 30 months,231
England,AYRSHIRE,Dairy,M,30 to 36 months,107
England,AYRSHIRE,Dairy,M,36 to 42 months,55
England,AYRSHIRE,Dairy,M,42 to 48 Months,32
England,AYRSHIRE,Dairy,M,48 to 54 months,21
England,AYRSHIRE,Dairy,M,54 to 60 months,16
England,AYRSHIRE,Dairy,M,60 to 66 months,10
England,AYRSHIRE,Dairy,M,66 to 72 months,10
England,AYRSHIRE,Dairy,M,72 to 78 months,10
England,AYRSHIRE,Dairy,M,78 to 84 months,11
England,AYRSHIRE,Dairy,M,84 to 90 months,8
England,AYRSHIRE,Dairy,M,90 to 96 months,5
England,AYRSHIRE,Dairy,M,96 to102 months,32
England,AYRSHIRE,Dairy,M,102+months,27
England,AYRSHIRE X,Dairy,F,0 to 6 months,715
England,AYRSHIRE X,Dairy,F,6 to 12 months,709
England,AYRSHIRE X,Dairy,F,12 to 18 months,577
England,AYRSHIRE X,Dairy,F,18 to 24 months,689
England,AYRSHIRE X,Dairy,F,24 to 30 months,587
England,AYRSHIRE X,Dairy,F,30 to 36 months,483
England,AYRSHIRE X,Dairy,F,36 to 42 months,439
England,AYRSHIRE X,Dairy,F,42 to 48 Months,464
England,AYRSHIRE X,Dairy,F,48 to 54 months,395
England,AYRSHIRE X,Dairy,F,54 to 60 months,361
England,AYRSHIRE X,Dairy,F,60 to 66 months,276
England,AYRSHIRE X,Dairy,F,66 to 72 months,232
England,AYRSHIRE X,Dairy,F,72 to 78 months,194
England,AYRSHIRE X,Dairy,F,78 to 84 months,159
England,AYRSHIRE X,Dairy,F,84 to 90 months,86
England,AYRSHIRE X,Dairy,F,90 to 96 months,136
England,AYRSHIRE X,Dairy,F,96 to102 months,92
England,AYRSHIRE X,Dairy,F,102+months,323
England,AYRSHIRE X,Dairy,M,0 to 6 months,349
England,AYRSHIRE X,Dairy,M,6 to 12 months,402
England,AYRSHIRE X,Dairy,M,12 to 18 months,208
England,AYRSHIRE X,Dairy,M,18 to 24 months,150
England,AYRSHIRE X,Dairy,M,24 to 30 months,77
England,AYRSHIRE X,Dairy,M,30 to 36 months,39
England,AYRSHIRE X,Dairy,M,36 to 42 months,8
England,AYRSHIRE X,Dairy,M,42 to 48 Months,6
England,AYRSHIRE X,Dairy,M,48 to 54 months,2
England,AYRSHIRE X,Dairy,M,54 to 60 months,6
England,AYRSHIRE X,Dairy,M,60 to 66 months,1
England,AYRSHIRE X,Dairy,M,66 to 72 months,1
England,AYRSHIRE X,Dairy,M,72 to 78 months,1
England,AYRSHIRE X,Dairy,M,78 to 84 months,1
England,AYRSHIRE X,Dairy,M,84 to 90 months,1
England,AYRSHIRE X,Dairy,M,96 to102 months,1
England,AYRSHIRE X,Dairy,M,102+months,12
England,AYRSHIRE X,Dairy,M,,1
England,BALTATA ROMANEASCA,Non Dairy,F,12 to 18 months,1
England,BALTATA ROMANEASCA,Non Dairy,F,18 to 24 months,1
England,BALTATA ROMANEASCA,Non Dairy,F,102+months,3
England,BAZADAISE,Non Dairy,F,0 to 6 months,60
England,BAZADAISE,Non Dairy,F,6 to 12 months,124
England,BAZADAISE,Non Dairy,F,12 to 18 months,58
England,BAZADAISE,Non Dairy,F,18 to 24 months,120
England,BAZADAISE,Non Dairy,F,24 to 30 months,44
England,BAZADAISE,Non Dairy,F,30 to 36 months,71
England,BAZADAISE,Non Dairy,F,36 to 42 months,18
England,BAZADAISE,Non Dairy,F,42 to 48 Months,41
England,BAZADAISE,Non Dairy,F,48 to 54 months,15
England,BAZADAISE,Non Dairy,F,54 to 60 months,61
England,BAZADAISE,Non Dairy,F,60 to 66 months,25
England,BAZADAISE,Non Dairy,F,66 to 72 months,30
England,BAZADAISE,Non Dairy,F,72 to 78 months,19
England,BAZADAISE,Non Dairy,F,78 to 84 months,23
England,BAZADAISE,Non Dairy,F,84 to 90 months,10
England,BAZADAISE,Non Dairy,F,90 to 96 months,23
England,BAZADAISE,Non Dairy,F,96 to102 months,16
England,BAZADAISE,Non Dairy,F,102+months,118
England,BAZADAISE,Non Dairy,M,0 to 6 months,48
England,BAZADAISE,Non Dairy,M,6 to 12 months,111
England,BAZADAISE,Non Dairy,M,12 to 18 months,56
England,BAZADAISE,Non Dairy,M,18 to 24 months,86
England,BAZADAISE,Non Dairy,M,24 to 30 months,26
England,BAZADAISE,Non Dairy,M,30 to 36 months,17
England,BAZADAISE,Non Dairy,M,36 to 42 months,10
England,BAZADAISE,Non Dairy,M,42 to 48 Months,10
England,BAZADAISE,Non Dairy,M,48 to 54 months,6
England,BAZADAISE,Non Dairy,M,54 to 60 months,15
England,BAZADAISE,Non Dairy,M,60 to 66 months,8
England,BAZADAISE,Non Dairy,M,66 to 72 months,8
England,BAZADAISE,Non Dairy,M,72 to 78 months,4
England,BAZADAISE,Non Dairy,M,78 to 84 months,17
England,BAZADAISE,Non Dairy,M,84 to 90 months,2
England,BAZADAISE,Non Dairy,M,90 to 96 months,9
England,BAZADAISE,Non Dairy,M,96 to102 months,2
England,BAZADAISE,Non Dairy,M,102+months,10
England,BAZADAISE X,Non Dairy,F,0 to 6 months,391
England,BAZADAISE X,Non Dairy,F,6 to 12 months,890
England,BAZADAISE X,Non Dairy,F,12 to 18 months,363
England,BAZADAISE X,Non Dairy,F,18 to 24 months,574
England,BAZADAISE X,Non Dairy,F,24 to 30 months,114
England,BAZADAISE X,Non Dairy,F,30 to 36 months,119
England,BAZADAISE X,Non Dairy,F,36 to 42 months,47
England,BAZADAISE X,Non Dairy,F,42 to 48 Months,114
England,BAZADAISE X,Non Dairy,F,48 to 54 months,54
England,BAZADAISE X,Non Dairy,F,54 to 60 months,116
England,BAZADAISE X,Non Dairy,F,60 to 66 months,77
England,BAZADAISE X,Non Dairy,F,66 to 72 months,92
England,BAZADAISE X,Non Dairy,F,72 to 78 months,53
England,BAZADAISE X,Non Dairy,F,78 to 84 months,64
England,BAZADAISE X,Non Dairy,F,84 to 90 months,52
England,BAZADAISE X,Non Dairy,F,90 to 96 months,58
England,BAZADAISE X,Non Dairy,F,96 to102 months,30
England,BAZADAISE X,Non Dairy,F,102+months,346
England,BAZADAISE X,Non Dairy,M,0 to 6 months,403
England,BAZADAISE X,Non Dairy,M,6 to 12 months,891
England,BAZADAISE X,Non Dairy,M,12 to 18 months,321
England,BAZADAISE X,Non Dairy,M,18 to 24 months,460
England,BAZADAISE X,Non Dairy,M,24 to 30 months,60
England,BAZADAISE X,Non Dairy,M,30 to 36 months,18
England,BAZADAISE X,Non Dairy,M,36 to 42 months,4
England,BAZADAISE X,Non Dairy,M,42 to 48 Months,7
England,BAZADAISE X,Non Dairy,M,48 to 54 months,2
England,BAZADAISE X,Non Dairy,M,54 to 60 months,3
England,BAZADAISE X,Non Dairy,M,66 to 72 months,9
England,BAZADAISE X,Non Dairy,M,78 to 84 months,4
England,BAZADAISE X,Non Dairy,M,84 to 90 months,1
England,BAZADAISE X,Non Dairy,M,90 to 96 months,3
England,BAZADAISE X,Non Dairy,M,102+months,6
England,BAZADAISE X,Non Dairy,M,,1
England,BEEF SHORTHORN,Non Dairy,F,0 to 6 months,422
England,BEEF SHORTHORN,Non Dairy,F,6 to 12 months,"1,477"
England,BEEF SHORTHORN,Non Dairy,F,12 to 18 months,388
England,BEEF SHORTHORN,Non Dairy,F,18 to 24 months,"1,270"
England,BEEF SHORTHORN,Non Dairy,F,24 to 30 months,273
England,BEEF SHORTHORN,Non Dairy,F,30 to 36 months,936
England,BEEF SHORTHORN,Non Dairy,F,36 to 42 months,220
England,BEEF SHORTHORN,Non Dairy,F,42 to 48 Months,748
England,BEEF SHORTHORN,Non Dairy,F,48 to 54 months,227
England,BEEF SHORTHORN,Non Dairy,F,54 to 60 months,672
